,batch_size,eta_max,eta_min,l,lamda,n_epochs,n_hidden,n_s,test_accuracy,val_accuracy
5,100,0.1,1e-05,-2.5,0.0031622776601683794,8,50,900,0.5137,0.5246
6,100,0.1,1e-05,-2.0,0.01,8,50,900,0.5129,0.517
3,100,0.1,1e-05,-3.5,0.00031622776601683794,8,50,900,0.5114,0.5166
4,100,0.1,1e-05,-3.0,0.001,8,50,900,0.5098,0.5228
0,100,0.1,1e-05,-5.0,1e-05,8,50,900,0.508,0.5078
2,100,0.1,1e-05,-4.0,0.0001,8,50,900,0.5075,0.515
1,100,0.1,1e-05,-4.5,3.1622776601683795e-05,8,50,900,0.507,0.5196
7,100,0.1,1e-05,-1.5,0.03162277660168379,8,50,900,0.4885,0.4896
8,100,0.1,1e-05,-1.0,0.1,8,50,900,0.4185,0.4132
